Selected Features,Score
Classical_Monocytes,58.947796197725296
Monocytes,53.14999602721647
ENSG00000065923.9,16.870867349982465
ENSG00000083857.13,21.053268365799223
ENSG00000085871.8,21.323713034546962
ENSG00000106066.14,17.4484487527968
ENSG00000109667.11,17.045730321811924
ENSG00000111640.14,18.71280064663394
ENSG00000121064.12,33.57389965671749
ENSG00000123219.12,22.176014835274774
ENSG00000129450.8,16.653037510331842
ENSG00000135116.9,18.53144373120892
ENSG00000146070.16,16.815033135471285
ENSG00000165131.6,19.806165014162307
ENSG00000185168.5,18.716207509723198
ENSG00000196247.11,18.125102972408346
ENSG00000204110.6,22.07807354841711
ENSG00000207087.1,16.468935289950718
ENSG00000227920.2,21.808618889666548
ENSG00000231313.2,18.193560515445164
ENSG00000231680.1,24.86560088933841
ENSG00000235271.5,16.922201378704575
ENSG00000243753.5,21.716969204234832
ENSG00000249186.1,19.735245332485405
ENSG00000250127.1,27.144179355302295
ENSG00000254054.2,16.729747403597937
ENSG00000268849.5,17.2832027792242
ENSG00000271605.5,18.968383026061723
ENSG00000272564.1,35.75139364485751
ENSG00000279970.1,18.868106270851772
